product_id,product_name,brand,category,subcategory,pack_size,unit_cost,base_price,launch_date,discontinue_date,product_status
P00226,Verve Naturals Instant Noodles 250ml,Verve Naturals,Packaged Food,Instant Noodles,250ml,52.38,70.33,2023-01-01,,Active
P00227,Ember Pro Spices 500ml,Ember Pro,Packaged Food,Spices,500ml,82.63,117.95,2023-04-20,,Launched
P00228,Nova Gold Spices 6-pack,Nova Gold,Packaged Food,Spices,6-pack,114.7,180.85,2023-01-01,,Active
P00229,Verve Naturals Sauces 2L,Verve Naturals,Packaged Food,Sauces,2L,185.29,279.42,2023-01-01,,Active
P00230,Everest Sauces 250ml,Everest,Packaged Food,Sauces,250ml,121.8,159.66,2023-01-01,,Active
P00231,Nova Gold Spices 500g,Nova Gold,Packaged Food,Spices,500g,21.78,34.01,2023-01-01,,Active
P00232,Orchid Pro Curd 2L,Orchid Pro,Dairy,Curd,2L,79.65,101.1,2023-01-01,,Active
P00233,Orchid Fresh Curd 500g,Orchid Fresh,Dairy,Curd,500g,128.6,166.72,2023-01-01,,Active
P00234,Crest Pro Paneer 2L,Crest Pro,Dairy,Paneer,2L,85.05,121.91,2023-01-01,,Active
P00235,Bloom Pro Curd 100g,Bloom Pro,Dairy,Curd,100g,85.32,106.63,2023-01-01,,Active
P00236,Orchid Fresh Paneer 250ml,Orchid Fresh,Dairy,Paneer,250ml,52.79,73.05,2023-01-01,,Active
P00237,Bloom Pro Cheese 500ml,Bloom Pro,Dairy,Cheese,500ml,118.01,154.4,2023-01-01,,Active
P00238,Orchid Pro Paneer 250ml,Orchid Pro,Dairy,Paneer,250ml,80.63,112.68,2023-01-01,,Active
P00239,Nova Select Butter 100g,Nova Select,Dairy,Butter,100g,71.31,90.04,2024-05-14,,Launched
P00240,Bloom Pro Butter 1kg,Bloom Pro,Dairy,Butter,1kg,33.61,46.45,2023-01-01,,Active
P00241,Orchid Pro Butter 500g,Orchid Pro,Dairy,Butter,500g,19.44,27.33,2024-12-04,,Launched
P00242,Orchid Gold Butter 500ml,Orchid Gold,Dairy,Butter,500ml,77.25,111.83,2023-01-01,,Active
P00243,Nova Select Curd 1L,Nova Select,Dairy,Curd,1L,54.12,73.43,2023-01-01,,Active
P00244,Summit Select Butter 2L,Summit Select,Dairy,Butter,2L,129.25,186.63,2023-01-01,,Active
P00245,Crest Pro Cheese 500ml,Crest Pro,Dairy,Cheese,500ml,61.57,79.47,2024-04-06,,Launched
P00246,Orchid Fresh Milk 500g,Orchid Fresh,Dairy,Milk,500g,54.11,73.56,2023-01-01,,Active
P00247,Orchid Gold Milk 500g,Orchid Gold,Dairy,Milk,500g,101.85,137.37,2023-01-01,,Active
P00248,Orchid Pro Curd 1L,Orchid Pro,Dairy,Curd,1L,80.56,108.67,2023-01-01,,Active
P00249,Bloom Pro Milk 6-pack,Bloom Pro,Dairy,Milk,6-pack,29.08,38.55,2023-09-19,,Launched
P00250,Summit Select Paneer 500g,Summit Select,Dairy,Paneer,500g,99.26,127.43,2023-01-01,,Active
P00251,Summit Select Curd 1kg,Summit Select,Dairy,Curd,1kg,113.29,165.82,2023-01-01,,Active
P00252,Bloom Pro Milk 500ml,Bloom Pro,Dairy,Milk,500ml,78.72,96.64,2023-01-01,,Active
P00253,Bloom Pro Cheese 1kg,Bloom Pro,Dairy,Cheese,1kg,53.66,77.77,2023-01-01,,Active
P00254,Summit Select Milk 200g,Summit Select,Dairy,Milk,200g,69.14,99.92,2023-01-01,,Active
P00255,Crest Pro Milk 2L,Crest Pro,Dairy,Milk,2L,114.98,164.01,2023-01-01,,Active
P00256,Orchid Fresh Paneer 500ml,Orchid Fresh,Dairy,Paneer,500ml,41.51,60.42,2023-01-01,,Active
P00257,Orchid Fresh Curd 500g,Orchid Fresh,Dairy,Curd,500g,63.98,80.22,2023-01-01,2025-02-04,Discontinued
P00258,Orchid Pro Milk 1kg,Orchid Pro,Dairy,Milk,1kg,100.92,130.02,2023-01-01,,Active
P00259,Nova Select Cheese 250ml,Nova Select,Dairy,Cheese,250ml,43.07,63.18,2023-01-01,,Active
P00260,Crest Pro Butter 1L,Crest Pro,Dairy,Butter,1L,83.52,121.47,2023-01-01,,Active
P00261,Orchid Fresh Paneer 2L,Orchid Fresh,Dairy,Paneer,2L,59.82,77.38,2023-01-01,2025-11-17,Discontinued
P00262,Orchid Fresh Paneer 200g,Orchid Fresh,Dairy,Paneer,200g,103.01,131.54,2023-01-01,,Active
P00263,Orchid Fresh Milk 500ml,Orchid Fresh,Dairy,Milk,500ml,125.65,156.59,2023-01-01,,Active
P00264,Bloom Pro Butter 250ml,Bloom Pro,Dairy,Butter,250ml,113.96,139.36,2023-01-01,,Active
P00265,Bloom Pro Paneer 100g,Bloom Pro,Dairy,Paneer,100g,22.03,31.4,2023-03-26,,Launched
P00266,Orchid Gold Milk 250ml,Orchid Gold,Dairy,Milk,250ml,57.95,73.92,2023-01-01,,Active
P00267,Orchid Pro Curd 2L,Orchid Pro,Dairy,Curd,2L,20.27,29.08,2023-01-01,,Active
P00268,Summit Select Curd 250ml,Summit Select,Dairy,Curd,250ml,92.18,118.97,2023-01-01,,Active
P00269,Summit Select Cheese 6-pack,Summit Select,Dairy,Cheese,6-pack,105.49,129.27,2023-01-01,,Active
P00270,Summit Select Cheese 100g,Summit Select,Dairy,Cheese,100g,106.96,141.76,2023-01-01,,Active
P00271,Pioneer Pro Protein 2L,Pioneer Pro,Health & Wellness,Protein,2L,186.04,415.54,2023-01-01,,Active
P00272,Aura Vitamins 1kg,Aura,Health & Wellness,Vitamins,1kg,309.35,704.53,2023-01-01,,Active
P00273,Pioneer Pro Protein 1L,Pioneer Pro,Health & Wellness,Protein,1L,377.38,781.67,2023-01-01,,Active
P00274,Aura Immunity 1kg,Aura,Health & Wellness,Immunity,1kg,432.26,1017.7,2023-01-01,,Active
P00275,Pioneer Pro Immunity 1kg,Pioneer Pro,Health & Wellness,Immunity,1kg,380.41,865.58,2023-01-01,,Active
P00276,Aura Immunity 500g,Aura,Health & Wellness,Immunity,500g,135.65,297.6,2023-01-01,,Active
P00277,Everest Pro Immunity 200g,Everest Pro,Health & Wellness,Immunity,200g,429.81,1009.69,2023-01-01,,Active
P00278,Aura Immunity 1L,Aura,Health & Wellness,Immunity,1L,475.08,848.87,2023-01-01,,Active
P00279,Aura Ayurvedic 500ml,Aura,Health & Wellness,Ayurvedic,500ml,211.3,527.12,2023-01-01,,Active
P00280,Orchid Select Protein 2L,Orchid Select,Health & Wellness,Protein,2L,214.51,454.26,2023-01-01,,Active
P00281,Pioneer Pro Immunity 6-pack,Pioneer Pro,Health & Wellness,Immunity,6-pack,323.34,616.04,2024-12-14,,Launched
P00282,Orchid Select Vitamins 1kg,Orchid Select,Health & Wellness,Vitamins,1kg,224.85,485.27,2023-01-01,,Active
P00283,Everest Pro Vitamins 1L,Everest Pro,Health & Wellness,Vitamins,1L,171.03,371.33,2023-01-01,,Active
P00284,Orchid Select Ayurvedic 200g,Orchid Select,Health & Wellness,Ayurvedic,200g,281.82,567.89,2023-01-01,,Active
P00285,Aura Protein 2L,Aura,Health & Wellness,Protein,2L,101.98,187.43,2023-01-01,,Active
P00286,Orchid Select Ayurvedic 1L,Orchid Select,Health & Wellness,Ayurvedic,1L,304.21,751.14,2023-01-01,,Active
P00287,Everest Pro Ayurvedic 500ml,Everest Pro,Health & Wellness,Ayurvedic,500ml,86.34,218.64,2023-01-01,,Active
P00288,Pioneer Pro Vitamins 250ml,Pioneer Pro,Health & Wellness,Vitamins,250ml,366.38,880.39,2023-01-01,,Active
P00289,Pioneer Pro Vitamins 1kg,Pioneer Pro,Health & Wellness,Vitamins,1kg,506.42,893.9,2023-01-01,,Active
P00290,Pioneer Pro Ayurvedic 1L,Pioneer Pro,Health & Wellness,Ayurvedic,1L,167.56,314.79,2023-01-01,,Active
P00291,Everest Pro Immunity 6-pack,Everest Pro,Health & Wellness,Immunity,6-pack,515.26,1019.44,2023-01-01,,Active
P00292,Aura Protein 1L,Aura,Health & Wellness,Protein,1L,420.37,784.21,2024-06-11,,Launched
P00293,Pioneer Pro Ayurvedic 500ml,Pioneer Pro,Health & Wellness,Ayurvedic,500ml,86.75,194.34,2023-01-01,,Active
P00294,Everest Pro Ayurvedic 500g,Everest Pro,Health & Wellness,Ayurvedic,500g,179.49,401.47,2023-01-01,,Active
P00295,Orchid Select Ayurvedic 200g,Orchid Select,Health & Wellness,Ayurvedic,200g,157.99,359.69,2023-01-01,,Active
P00296,Everest Pro Ayurvedic 500g,Everest Pro,Health & Wellness,Ayurvedic,500g,213.86,389.09,2023-01-01,,Active
P00297,Orchid Select Protein 250ml,Orchid Select,Health & Wellness,Protein,250ml,292.74,555.62,2023-01-01,,Active
P00298,Pioneer Pro Protein 2L,Pioneer Pro,Health & Wellness,Protein,2L,277.66,704.77,2023-01-01,,Active
P00299,Orchid Select Protein 500ml,Orchid Select,Health & Wellness,Protein,500ml,165.19,309.91,2023-01-01,,Active
P00300,Orchid Select Protein 1kg,Orchid Select,Health & Wellness,Protein,1kg,587.47,1180.8,2023-01-01,,Active
